Symbol,Date,Open,High,Low,Close,Volume,MarketState
GBPUSD,2012.11.08,1.59813,1.60037,1.59286,1.59784,58737,UNKNOWN
GBPUSD,2012.11.09,1.59789,1.60186,1.58873,1.58938,58926,UNKNOWN
GBPUSD,2012.11.12,1.59026,1.59147,1.58630,1.58762,45538,UNKNOWN
GBPUSD,2012.11.13,1.58764,1.59149,1.58578,1.58705,56482,UNKNOWN
GBPUSD,2012.11.14,1.58706,1.59007,1.58378,1.58410,57224,UNKNOWN
GBPUSD,2012.11.15,1.58411,1.58784,1.58274,1.58607,54704,UNKNOWN
GBPUSD,2012.11.16,1.58607,1.59005,1.58351,1.58792,51855,UNKNOWN
GBPUSD,2012.11.19,1.58898,1.59223,1.58866,1.59054,49333,UNKNOWN
GBPUSD,2012.11.20,1.59052,1.59354,1.58909,1.59252,50103,UNKNOWN
GBPUSD,2012.11.21,1.59250,1.59563,1.58827,1.59546,52142,UNKNOWN
GBPUSD,2012.11.22,1.59547,1.59779,1.59183,1.59385,51001,UNKNOWN
GBPUSD,2012.11.23,1.59389,1.60504,1.59260,1.60252,48178,UNKNOWN
GBPUSD,2012.11.26,1.60235,1.60371,1.59960,1.60322,50798,UNKNOWN
GBPUSD,2012.11.27,1.60319,1.60551,1.60087,1.60155,56580,UNKNOWN
GBPUSD,2012.11.28,1.60153,1.60221,1.59618,1.60124,57214,UNKNOWN
GBPUSD,2012.11.29,1.60125,1.60476,1.60015,1.60414,53819,UNKNOWN
GBPUSD,2012.11.30,1.60412,1.60617,1.59885,1.60107,56036,UNKNOWN
GBPUSD,2012.12.03,1.60221,1.61152,1.60198,1.60945,52654,UNKNOWN
GBPUSD,2012.12.04,1.60944,1.61303,1.60859,1.60999,53379,UNKNOWN
GBPUSD,2012.12.05,1.60998,1.61176,1.60823,1.60914,49718,UNKNOWN
GBPUSD,2012.12.06,1.60915,1.61272,1.60354,1.60415,56703,UNKNOWN
GBPUSD,2012.12.07,1.60415,1.60604,1.60016,1.60374,55445,UNKNOWN
GBPUSD,2012.12.10,1.60335,1.60960,1.60130,1.60747,46446,UNKNOWN
GBPUSD,2012.12.11,1.60743,1.61207,1.60685,1.61145,49632,UNKNOWN
GBPUSD,2012.12.12,1.61146,1.61708,1.60943,1.61371,52561,UNKNOWN
GBPUSD,2012.12.13,1.61370,1.61527,1.60845,1.61102,51590,UNKNOWN
